SlateID,Site,ContestType,LineupNum,AvgProfit,AvgPayout,ROI,WinRate,Top10Rate,ITMRate,AvgRank,MedianRank,BestRank,WorstRank
25439,draftkings,classic,4301,652.14,672.14,3260.71,1.05,5.72,71.2,832,389,1,4942
25439,draftkings,classic,3218,616.12,636.12,3080.61,1.26,4.84,56.69,1229.7,757,1,4995
25439,draftkings,classic,681,613.33,633.33,3066.64,1.06,5.13,63.85,1018,535,1,4991
25439,draftkings,classic,1322,570.34,590.34,2851.68,0.94,4.92,61.35,1115.3,600,1,4991
25439,draftkings,classic,2749,570.09,590.09,2850.43,0.96,4.85,59.66,1158.7,653,1,4997
25439,draftkings,classic,1115,561.37,581.37,2806.87,0.68,5.1,70.04,845.9,421,1,4920
25439,draftkings,classic,4377,557.5,577.5,2787.52,0.85,4.62,59.27,1147.1,683,1,4953
25439,draftkings,classic,2908,502.38,522.38,2511.88,0.68,4.27,69.58,857.3,452,1,4940
25439,draftkings,classic,2719,500.69,520.69,2503.44,0.76,4.39,64.08,985.8,578,1,4990
25439,draftkings,classic,4229,498.18,518.18,2490.9,0.68,4.31,65.76,953.7,559,1,4980
25439,draftkings,classic,4140,475.26,495.26,2376.32,0.71,4.11,66.8,917.3,513,1,4926
25439,draftkings,classic,2871,468.24,488.24,2341.18,0.63,3.91,64.08,1004.1,573,1,4982
25439,draftkings,classic,3097,468.12,488.12,2340.6,0.68,4.19,58.42,1160.7,720,1,4995
25439,draftkings,classic,943,435.99,455.99,2179.96,0.61,3.85,62.18,1113.6,594,1,4993
25439,draftkings,classic,3107,419.44,439.44,2097.2,0.55,3.66,56.94,1258.2,756,1,4990
25439,draftkings,classic,446,410.76,430.76,2053.81,0.42,4.05,69.63,861.5,434,1,4966
25439,draftkings,classic,1357,410,430,2049.99,0.57,3.61,55.59,1260.3,794,1,4994
25439,draftkings,classic,670,404.97,424.97,2024.84,0.53,3.64,62.65,1036.3,619,1,4963
25439,draftkings,classic,794,402.09,422.09,2010.46,0.67,3.24,46.96,1536.2,1119,1,4995
25439,draftkings,classic,2324,387.87,407.87,1939.37,0.59,3.38,59.7,1131.6,681,1,4964
25439,draftkings,classic,1734,386.39,406.39,1931.96,0.46,3.46,66.44,897.4,534,1,4968
25439,draftkings,classic,4497,385.45,405.45,1927.24,0.41,3.73,58.78,1187.3,701,1,5001
25439,draftkings,classic,1347,384.48,404.48,1922.41,0.55,3.26,60.73,1061.8,688,1,4966
25439,draftkings,classic,4000,380.78,400.78,1903.92,0.59,3.16,56.55,1184.8,780,1,4998
25439,draftkings,classic,2895,378.87,398.87,1894.33,0.48,3.12,64.98,990.1,539,1,4966
25439,draftkings,classic,4696,373.19,393.19,1865.95,0.52,3.22,63.36,1008.7,597,1,4940
25439,draftkings,classic,2312,372.53,392.53,1862.66,0.67,3.02,46.04,1536.2,1154,1,4999
25439,draftkings,classic,2466,370.2,390.2,1850.98,0.58,3.14,55.12,1251,821,1,4986
25439,draftkings,classic,1048,365.74,385.74,1828.69,0.61,3.08,53.03,1347.2,882,1,4999
25439,draftkings,classic,1450,352.26,372.26,1761.28,0.51,2.93,57.16,1174.1,752,1,4957
25439,draftkings,classic,1666,349.47,369.47,1747.33,0.49,3.16,50.8,1404.1,967,1,4995
25439,draftkings,classic,3725,345.52,365.52,1727.59,0.53,2.87,53.16,1327.4,877,1,4969
25439,draftkings,classic,4951,344.21,364.21,1721.06,0.35,2.94,64.67,960.5,577,1,4925
25439,draftkings,classic,3370,337.01,357.01,1685.03,0.43,2.85,53.04,1309.5,885,1,4992
25439,draftkings,classic,2200,332.29,352.29,1661.43,0.33,3.2,58.93,1143,703,1,5000
25439,draftkings,classic,645,325.17,345.17,1625.86,0.46,2.4,61.42,1062.6,658,1,4954
25439,draftkings,classic,1558,322.23,342.23,1611.13,0.42,2.75,55.73,1214.6,794,1,4947
25439,draftkings,classic,2463,321.05,341.05,1605.26,0.41,2.63,54.13,1253.6,871,1,4998
25439,draftkings,classic,2568,319.08,339.08,1595.4,0.35,2.79,53.29,1353.3,874,1,4989
25439,draftkings,classic,1735,313.72,333.72,1568.62,0.43,2.62,54,1256.3,870,1,4983
25439,draftkings,classic,2027,308.24,328.24,1541.21,0.58,2.25,43.11,1664.2,1300,1,4996
25439,draftkings,classic,2233,306.09,326.09,1530.45,0.35,2.85,55.1,1253.7,832,1,4982
25439,draftkings,classic,119,301.02,321.02,1505.1,0.39,2.62,53.38,1354.9,875,1,4989
25439,draftkings,classic,2208,294.48,314.48,1472.39,0.45,2.51,45.04,1610.6,1204,1,5000
25439,draftkings,classic,2940,294.22,314.22,1471.1,0.35,2.53,53.97,1336.8,858,1,4994
25439,draftkings,classic,4184,288.76,308.76,1443.79,0.41,2.41,54.27,1287.9,851,1,4996
25439,draftkings,classic,255,287.18,307.18,1435.92,0.29,2.41,57.7,1174.1,738,1,4983
