P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
,,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,SP,Jacob Misiorowski (43212094),Jacob Misiorowski,43212094,P,12000,SF@MIL 06/04/2026 02:10PM ET,MIL,28.05
,,,,,,,,,,,SP,Zack Wheeler (43211901),Zack Wheeler,43211901,P,10700,SD@PHI 06/04/2026 01:05PM ET,PHI,21.35
,,,,,,,,,,,SP,Cristopher Sanchez (43212095),Cristopher Sanchez,43212095,P,10700,SD@PHI 06/04/2026 01:05PM ET,PHI,26.79
,,,,,,,,,,,SP,Cam Schlittler (43212096),Cam Schlittler,43212096,P,10500,CLE@NYY 06/04/2026 01:35PM ET,NYY,22.74
,,,,,,,,,,,SP,Garrett Crochet (43212097),Garrett Crochet,43212097,P,10000,BAL@BOS 06/04/2026 01:35PM ET,BOS,13.78
,,,,,,,,,,,RP,Kyle Harrison (43212098),Kyle Harrison,43212098,P,10000,SF@MIL 06/04/2026 02:10PM ET,MIL,22.34
,,,,,,,,,,,SP,Logan Henderson (43212099),Logan Henderson,43212099,P,10000,SF@MIL 06/04/2026 02:10PM ET,MIL,18.27
,,,,,,,,,,,RP,Ryan Weathers (43212100),Ryan Weathers,43212100,P,9700,CLE@NYY 06/04/2026 01:35PM ET,NYY,18.93
,,,,,,,,,,,SP,Max Fried (43212101),Max Fried,43212101,P,9700,CLE@NYY 06/04/2026 01:35PM ET,NYY,17.24
,,,,,,,,,,,SP,Gerrit Cole (43212102),Gerrit Cole,43212102,P,9700,CLE@NYY 06/04/2026 01:35PM ET,NYY,18.3
,,,,,,,,,,,SP,Jesus Luzardo (43212103),Jesus Luzardo,43212103,P,9200,SD@PHI 06/04/2026 01:05PM ET,PHI,16.80
,,,,,,,,,,,SP,Payton Tolle (43212104),Payton Tolle,43212104,P,9000,BAL@BOS 06/04/2026 01:35PM ET,BOS,20.46
,,,,,,,,,,,SP,Brandon Woodruff (43212105),Brandon Woodruff,43212105,P,9000,SF@MIL 06/04/2026 02:10PM ET,MIL,13.72
,,,,,,,,,,,SP,Chad Patrick (43212106),Chad Patrick,43212106,P,9000,SF@MIL 06/04/2026 02:10PM ET,MIL,9.23
,,,,,,,,,,,SP,Nick Pivetta (43212107),Nick Pivetta,43212107,P,8700,SD@PHI 06/04/2026 01:05PM ET,SD,15.3
,,,,,,,,,,,RP,Michael King (43212108),Michael King,43212108,P,8700,SD@PHI 06/04/2026 01:05PM ET,SD,16.82
,,,,,,,,,,,SP,Carlos Rodon (43211902),Carlos Rodon,43211902,P,8700,CLE@NYY 06/04/2026 01:35PM ET,NYY,14.29
,,,,,,,,,,,SP,Will Warren (43212109),Will Warren,43212109,P,8700,CLE@NYY 06/04/2026 01:35PM ET,NYY,18.33
,,,,,,,,,,,SP,Clarke Schmidt (43212110),Clarke Schmidt,43212110,P,8700,CLE@NYY 06/04/2026 01:35PM ET,NYY,0
,,,,,,,,,,,SP,Parker Messick (43212111),Parker Messick,43212111,P,8700,CLE@NYY 06/04/2026 01:35PM ET,CLE,20.75
,,,,,,,,,,,SP,Gavin Williams (43212112),Gavin Williams,43212112,P,8700,CLE@NYY 06/04/2026 01:35PM ET,CLE,22.80
,,,,,,,,,,,SP,Robbie Ray (43212113),Robbie Ray,43212113,P,8500,SF@MIL 06/04/2026 02:10PM ET,SF,13.02
,,,,,,,,,,,RP,Landen Roupp (43212114),Landen Roupp,43212114,P,8500,SF@MIL 06/04/2026 02:10PM ET,SF,16.37
,,,,,,,,,,,SP,Logan Webb (43212115),Logan Webb,43212115,P,8500,SF@MIL 06/04/2026 02:10PM ET,SF,14.21
,,,,,,,,,,,SP,Joe Musgrove (43212116),Joe Musgrove,43212116,P,8200,SD@PHI 06/04/2026 01:05PM ET,SD,0
,,,,,,,,,,,SP,Connelly Early (43212117),Connelly Early,43212117,P,8000,BAL@BOS 06/04/2026 01:35PM ET,BOS,16.45
,,,,,,,,,,,SP,Sonny Gray (43212118),Sonny Gray,43212118,P,8000,BAL@BOS 06/04/2026 01:35PM ET,BOS,14.67
,,,,,,,,,,,SP,Ranger Suarez (43212119),Ranger Suarez,43212119,P,8000,BAL@BOS 06/04/2026 01:35PM ET,BOS,15.27
,,,,,,,,,,,SP,Shane Baz (43212121),Shane Baz,43212121,P,7700,BAL@BOS 06/04/2026 01:35PM ET,BAL,14.42
,,,,,,,,,,,SP,Dean Kremer (43212122),Dean Kremer,43212122,P,7700,BAL@BOS 06/04/2026 01:35PM ET,BAL,20.38
,,,,,,,,,,,SP,Zach Eflin (43212123),Zach Eflin,43212123,P,7700,BAL@BOS 06/04/2026 01:35PM ET,BAL,16.65
,,,,,,,,,,,SP,Aaron Nola (43212120),Aaron Nola,43212120,P,7700,SD@PHI 06/04/2026 01:05PM ET,PHI,12.60
,,,,,,,,,,,SP,Slade Cecconi (43211903),Slade Cecconi,43211903,P,7700,CLE@NYY 06/04/2026 01:35PM ET,CLE,10.15
,,,,,,,,,,,SP,Logan Allen (43212124),Logan Allen,43212124,P,7700,CLE@NYY 06/04/2026 01:35PM ET,CLE,19.4
,,,,,,,,,,,SP,Tanner Bibee (43212125),Tanner Bibee,43212125,P,7700,CLE@NYY 06/04/2026 01:35PM ET,CLE,11.59
,,,,,,,,,,,RP,Joey Cantillo (43212126),Joey Cantillo,43212126,P,7700,CLE@NYY 06/04/2026 01:35PM ET,CLE,12.07
,,,,,,,,,,,RP,Trevor McDonald (43212127),Trevor McDonald,43212127,P,7500,SF@MIL 06/04/2026 02:10PM ET,SF,14.35
,,,,,,,,,,,SP,Kyle Bradish (43212129),Kyle Bradish,43212129,P,7200,BAL@BOS 06/04/2026 01:35PM ET,BAL,14.83
,,,,,,,,,,,SP,Brandon Young (43212130),Brandon Young,43212130,P,7200,BAL@BOS 06/04/2026 01:35PM ET,BAL,12.52
,,,,,,,,,,,SP,Lucas Giolito (43211904),Lucas Giolito,43211904,P,7200,SD@PHI 06/04/2026 01:05PM ET,SD,6.9
,,,,,,,,,,,SP,Randy Vasquez (43212128),Randy Vasquez,43212128,P,7200,SD@PHI 06/04/2026 01:05PM ET,SD,14.1
